"","Species","PH","PD"
"1","acutus",2.39,13.2
"2","aeneus",1.928,21.51
"3","aequatorialis",2.5,1.2
"4","agassizi",1.49,0.31
"5","ahli",1.04,8.5
"6","aliniger",4.63,18.58
"7","allisoni",3.1,12.1
"8","allogus",1.1,9.7
"9","alutaceus",1.245,2.15
"10","angusticeps",2.37857142857143,3.67857142857143
"11","aquaticus",0.6,25.8
"12","argenteolus",2.09,23.1
"13","auratus",0.35,4.68
"14","bahorucoensis",0.995,4.72
"15","baleatus",10,14
"16","barahonae",8.25,33
"17","barbatus",5.76666666666667,3.65
"18","bartschi",2.97,2
"19","bimaculatus",1.76,23.05
"20","biporcatus",1.525,11.45
"21","brasiliensis",0.4,22.9
"22","brevirostris",1.03,2.7
"23","brunneus",1.68,2.3
"24","capito",1.48666666666667,19.3333333333333
"25","carolinensis",1.8,4.7
"26","caudalis",2.9,19
"27","chloris",4.045,18.1875
"28","chlorodius",1.64,0.175
"29","chocorum",1.87,12.9
"30","christophei",1.96,27.2
"31","coelestinus",2.53,20.92
"32","conspersus",2.325,9.7
"33","cooki",1.06333333333333,6.65
"34","cristatellus",1.06,23.6875
"35","cryptolimifrons",0.77,13.14
"36","cupreus",1.29,3.9
"37","cuvieri",3.045,9.65
"38","cybotes",1.14,13.62
"39","distichus",1.69,20.186
"40","dollfusianus",0.68,13.43
"41","equestris",4.03,15.3
"42","evermanni",2.64888888888889,32.6166666666667
"43","extremus",1.6,9
"44","ferreus",2.4,13
"45","festae",0.5,20
"46","fraseri",4.09,5.68
"47","fuscoauratus",1.2725,8.825
"48","garmani",3.35,17.9333333333333
"49","garridoi",1.78,2.56
"50","gingivinus",1.62,10.325
"51","gracilipes",0.8,8.24
"52","grahami",1.9425,27.55
"53","granuliceps",0.395,15.96
"54","griseus",2.17666666666667,62.7333333333333
"55","guamuhaya",2,10
"56","gundlachi",6.06333333333333,17.1333333333333
"57","hendersoni",0.61,0.6
"58","heterodermus",1.2,2
"59","homolechis",0.95,10.916
"60","humilis",0.326666666666667,41.8
"61","insolitus",3.36,0.36
"62","isolepis",7.13,0.3
"63","jubar",0.99,20.3
"64","koopmani",0.15,0.7
"65","krugi",1.488,24.974
"66","laeviventris",1.41,7.97
"67","latifrons",2.735,31.8
"68","leachii",2.01,7.3
"69","lemurinus",0.74,16.6133333333333
"70","lineatopus",1.446,20.95
"71","lineatus",0.56,13.5
"72","lionotus",0.61,20.8
"73","lividus",2.01,7.3
"74","longitibialis",0.885,13.25
"75","loysianus",1.93,23.45
"76","luciae",1.96,12.6
"77","lucius",1.56,51.3
"78","luteogularis",5.745,12.05
"79","luteosignifer",0.96,9.7
"80","lyra",1.435,21.5
"81","maculiventris",1.67,6.95333333333333
"82","marcanoi",1,11.6
"83","maynardi",2.52,11.7
"84","mccraniei",0.51,8.3
"85","medemi",3.79,10
"86","mestrei",1.51,12.05
"87","monticola",0.15,50
"88","nebulosus",1.76,29.4166666666667
"89","nelsoni",0.94,8
"90","noblei",6,9.3
"91","notopholis",2.02,11.25
"92","olssoni",0.46,1.5
"93","opalinus",2.11,11.1
"94","ophiolepis",0.25,0.8
"95","ortonii",1.31,22.65
"96","osa",0.8,3.6
"97","oxylophus",0.603333333333333,13.41
"98","peraccae",1.38,14.025
"99","planiceps",0.42,2.13
"100","poecilopus",0.57,24.1
"101","pogus",1.46,5.4
"102","poncensis",0.605,2.95
"103","porcatus",4.57666666666667,8.36666666666667
"104","porcus",5.96,4
"105","princeps",1.86666666666667,32.1166666666667
"106","proboscis",4.6,2.4
"107","pulchellus",0.6475,19.975
"108","pumilus",1.89,2.2
"109","punctatus",9.10666666666667,17.1
"110","quercorum",0.28,23.5
"111","reconditus",3.6,27.5
"112","rejectus",0.54,0.4
"113","richardi",1.855,11.9
"114","ricordii",10.33,11
"115","rodriguezii",0.86,22.775
"116","roquet",1.81,9.4
"117","sagrei",0.733076923076923,8.44230769230769
"118","schwartzi",0.525,9.65
"119","scriptus",2.4,1.3
"120","scypheus",0.57,7.67
"121","semilineatus",0.15,0.7
"122","sheplani",2.24,4.07
"123","smaragdinus",1.8,4.7
"124","stratulus",5.79222222222222,16.3444444444444
"125","subocularis",1.1,10.2
"126","tandai",0.4,1.36
"127","townsendi",1.3,8.2
"128","trachyderma",0.66,10.8333333333333
"129","transversalis",4.07,2.7
"130","trinitatis",1.605,23.45
"131","uniformis",0.3,27.56
"132","valencienni",2.99,12.97
"133","vanidicus",0.41,0.2
"134","vermiculatus",1.82333333333333,12.7666666666667
"135","villai",1.17,20.8
"136","vittigerus",0.99,11
"137","wattsi",0.8,10.4
"138","woodi",3,6.5
