Species,Ecomorph,DFA,C1,C3,Match
argenteolus,U,Tr/TG,TG/Tr,TG/Tr,Tr/TG
bartschi,U,TC/TG,TG/TC,TG/TC,TC/TG
biporcatus,M,CG/TG,CG/TG,CG/TG,CG/TG
cryptolimifrons,M,TG/GB,GB/TG,GB/TG,TG/GB
desechensis,U,TG/TC,TG/TC,TG/TC,TG/TC
meridionalis,M,GB/TG,GB/TG,GB/TG,GB/TG
monensis,U,TG/Tr,TG/Tr,TG/TC,TG/Tr
notopholis,M,TG/GB,TG/GB,TG/GB,TG/GB
ortonii,M,Tr/TC,Tr/TC,TC/Tr,Tr/TC
pentaprion,M,Tw/TC,TC/Tw,Tw/TC,Tw/TC
petersii,M,CG/TC,CG/TC,CG/TC,CG/TC
rodriguezii,M,TG/GB,GB/TG,GB/Tr,TG/GB
rupinae,U,GB/TG,TG/GB,TG/GB,GB/TG
serranoi,M,TG/GB,TG/GB,TG/GB,TG/GB
tolimensis,M,TG/TC,TG/TC,TG/Tr,TG/TC
vittigerus,M,TG/GB,TG/GB,TG/GB,TG/GB
wellbornae,M,TG/GB,GB/TG,GB/TC,TG/GB
zeus,M,GB/TG,GB/TG,GB/Tr,GB/TG
