Species,Ecomorph,Predicted,LDA,C1,C2,C3
altavelensis,U,Tr,0.99,0.25,0.319,0.192
amplisquamosus,M,GB,0.75,0.447,0.541,NA
apletophallus,M,G,0.78,0.311,0.458,0.294
argenteolus,U,Tr,0.91,0.368,0.403,0.273
armouri,U,TG,0.98,NA,NA,0.239
auratus,M,GB,0.92,0.387,0.495,0.227
beckeri,M,Tw,0.98,0.465,0.602,0.314
benedikti,M,TG,0.89,0.277,0.349,0.186
boulengerianus,M,G,0.91,0.331,0.483,NA
charlesmyersi,M,Tw,1,0.473,0.614,0.276
concolor,M,TG,0.96,0.235,0.327,0.219
cristifer,M,Tw,1,0.64,0.757,0.282
cryptolimifrons,M,G,0.98,0.313,0.452,0.179
cupreus,M,G,0.97,0.39,0.497,0.133
dollfusianus,M,G,0.99,0.404,0.495,0.154
dunni,M,TG,0.98,0.226,0.312,0.102
ernestwilliamsi,U,TG,0.97,0.352,0.417,0.219
etheridgei,U,G,0.99,0.416,0.537,0.334
gaigei,M,G,0.99,0.227,0.414,0.273
gracilipes,M,G,1,0.275,0.418,0.163
granuliceps,M,G,1,0.291,0.445,0.296
imias,U,TG,0.98,0.361,0.419,0.254
isolepis,U,Tw,1,0.452,0.587,0.182
johnmeyeri,M,TG,0.97,0.161,0.278,0.173
kemptoni,M,TC,0.97,0.343,0.437,0.213
lemurinus,M,G,0.97,0.218,0.406,0.221
liogaster,M,TG,1,NA,0.43,0.178
longitibialis,U,TG,1,NA,0.431,NA
loveridgei,M,CG,0.77,0.349,0.439,0.23
lyra,M,TG,0.99,0.361,0.421,0.259
mariarum,M,TG,0.96,NA,NA,0.256
matudai,M,TG,0.98,0.167,0.276,0.057
medemi,M,G,1,0.252,0.426,0.176
milleri,M,G,0.98,0.346,0.492,NA
nebulosus,M,TG,0.93,0.264,0.341,0.169
notopholis,M,G,1,0.221,0.408,0.271
ortonii,M,Tr,0.99,0.257,0.325,0.235
osa,M,G,0.97,0.177,0.39,0.233
pentaprion,M,Tw,0.9,0.558,0.672,0.417
pijolense,M,TG,0.99,0.228,0.32,0.206
pinchoti,M,TG,0.99,0.27,0.351,0.242
poecilopus,M,TG,0.94,0.213,0.306,0.169
pogus,U,GB,0.98,0.457,0.537,0.289
purpurgularis,M,TG,0.83,0.245,0.332,0.227
reconditus,U,TG,1,NA,NA,0.206
rivalis,M,G,0.9,0.28,0.44,0.255
rodriguezii,M,G,1,0.36,0.474,0.192
rubribarbaris,M,TC,1,NA,0.482,0.251
rupinae,U,G,0.96,0.361,0.477,0.198
salvini,M,Tw,1,0.498,0.622,0.339
scriptus,U,TG,0.99,NA,NA,0.253
shrevei,U,TG,0.98,0.211,0.308,0.153
strahmi,U,TG,1,NA,0.432,0.236
subocularis,M,G,0.94,0.292,0.444,0.24
taylori,M,TG,0.97,0.249,0.334,0.192
townsendi,M,TG,0.93,0.273,0.351,0.233
tropidolepis,M,G,0.98,0.191,0.398,0.308
vermiculatus,U,CG,0.98,0.377,0.447,0.122
villai,M,G,1,0.281,0.436,0.229
wampuensis,M,G,0.98,0.154,0.384,0.273
wattsi,U,TG,0.97,0.259,0.343,0.169
yoroensis,M,G,0.91,0.393,0.501,0.236
zeus,M,G,0.95,0.365,0.492,0.264
